route_id,route_name,from,to,stop_index,stop_name,longitude,latitude
30013,Route 14,R.A Bazar,Chungi Amar Sidhu,3,Ali View Garden,74.4030953,31.4947637
30013,Route 14,R.A Bazar,Chungi Amar Sidhu,4,Bhatta Chowk,74.412082,31.487521
30013,Route 14,R.A Bazar,Chungi Amar Sidhu,5,DHA Nursery,,
30013,Route 14,R.A Bazar,Chungi Amar Sidhu,6,LESCO,74.2777605,31.5137853
30013,Route 14,R.A Bazar,Chungi Amar Sidhu,7,Chota Ishara Stop,,
30013,Route 14,R.A Bazar,Chungi Amar Sidhu,8,Naka Stop,,
30013,Route 14,R.A Bazar,Chungi Amar Sidhu,9,Ghazi Chowk,74.2909349,31.4366621
30013,Route 14,R.A Bazar,Chungi Amar Sidhu,10,Chungi Amar Sidhu,74.3532971,31.4505007
30014,Route 15,Qartba Chowk,Babu Sabu,1,Qartba Chowk,,
30014,Route 15,Qartba Chowk,Babu Sabu,2,Hakeem M. Ajmal Khan Road,,
30014,Route 15,Qartba Chowk,Babu Sabu,3,Gulshan Ravi Road,74.2670416,31.54457
30014,Route 15,Qartba Chowk,Babu Sabu,4,Kacha Ferozepur Road,74.3161317,31.5423341
30014,Route 15,Qartba Chowk,Babu Sabu,5,Babu Sabu,74.2552499,31.5458661
30015,Route 16,Railway Station,Bhatti Chowk,1,Railway Station,74.3361528,31.5722982
30015,Route 16,Railway Station,Bhatti Chowk,2,Circular Road,74.3165199,31.5913236
30015,Route 16,Railway Station,Bhatti Chowk,3,Ek Moriya,,
30015,Route 16,Railway Station,Bhatti Chowk,4,Bhatti Chowk,74.2135779,31.2447239
30016,Route 17,Canal,Railway Station,1,Canal,74.25299,31.4647271
30016,Route 17,Canal,Railway Station,2,Main Boulevard Shadman,,
30016,Route 17,Canal,Railway Station,3,Davis Road,74.3368932,31.5617788
30016,Route 17,Canal,Railway Station,4,Shimla Pahari,74.3365138,31.5621217
30016,Route 17,Canal,Railway Station,5,Haji Camp,74.3343889,31.571143
30016,Route 17,Canal,Railway Station,6,Railway Station,74.3361528,31.5722982
30017,Route 18,Bhatti Chowk,Shimla Pahari,1,Bhatti Chowk,74.2135779,31.2447239
30017,Route 18,Bhatti Chowk,Shimla Pahari,2,Circular Road,74.3165199,31.5913236
30017,Route 18,Bhatti Chowk,Shimla Pahari,3,Nisbat Road,74.34268,31.5838921
30017,Route 18,Bhatti Chowk,Shimla Pahari,4,Abbot Road,,
30017,Route 18,Bhatti Chowk,Shimla Pahari,5,Shimla Pahari,74.3365138,31.5621217
30018,Route 19,Main Market,Bhatti Chowk,1,Main Market,74.3460905,31.5242065
30018,Route 19,Main Market,Bhatti Chowk,2,Jail Road,74.3365461,31.5386045
30018,Route 19,Main Market,Bhatti Chowk,3,Lytton Road,74.3146077,31.5492626
30018,Route 19,Main Market,Bhatti Chowk,4,Crust Road,,
30018,Route 19,Main Market,Bhatti Chowk,5,Lower Mall Road,74.3044321,31.5760298
30018,Route 19,Main Market,Bhatti Chowk,6,Bhatti Chowk,74.2135779,31.2447239
30019,Route 20,Jain Mandar,Chowk Yateem Khana,1,Jain Mandar,,
30019,Route 20,Jain Mandar,Chowk Yateem Khana,2,Al-Mumtaz Road,74.2963392,31.530622
30019,Route 20,Jain Mandar,Chowk Yateem Khana,3,Poonch Road,74.3026525,31.5493213
30019,Route 20,Jain Mandar,Chowk Yateem Khana,4,Lake Road,74.3069613,31.5586929
30019,Route 20,Jain Mandar,Chowk Yateem Khana,5,Chowk Yateem Khana,74.2872522,31.5319327
30020,Route 21,Depot Chowk,Thokar Niaz Baig,1,Depot Chowk,74.406197,31.4938631
30020,Route 21,Depot Chowk,Thokar Niaz Baig,2,Madar-e-Millat Road,74.3192552,31.4451951
30020,Route 21,Depot Chowk,Thokar Niaz Baig,3,Ali Road,74.3141945,31.4496437
30020,Route 21,Depot Chowk,Thokar Niaz Baig,4,Baig Road,74.2839498,31.4553441
30020,Route 21,Depot Chowk,Thokar Niaz Baig,5,Canal Bank Road,74.3484243,31.5431218
30020,Route 21,Depot Chowk,Thokar Niaz Baig,6,Thokar Niaz Baig,74.2382381,31.4810169
30021,Route 22,Depot Chowk,Thokar Niaz Baig,1,Depot Chowk,74.406197,31.4938631
30021,Route 22,Depot Chowk,Thokar Niaz Baig,2,Madar-e-Millat Road,74.3192552,31.4451951
30021,Route 22,Depot Chowk,Thokar Niaz Baig,3,Sutlej Avenue,74.2870841,31.4380518
30021,Route 22,Depot Chowk,Thokar Niaz Baig,4,Shahrah Nazria-e-Pakistan Avenue,,
30021,Route 22,Depot Chowk,Thokar Niaz Baig,5,Thokar Niaz Baig,74.2382381,31.4810169
30022,Route 23,Valencia,Thokar Niaz Baig,1,Valencia,74.2582688,31.4066733
30022,Route 23,Valencia,Thokar Niaz Baig,2,Valencia Main Boulevard,74.2563743,31.413127
30022,Route 23,Valencia,Thokar Niaz Baig,3,Khayaban-e-Jinnah,74.4023952,31.4747396
30022,Route 23,Valencia,Thokar Niaz Baig,4,Raiwind Road,74.2337709,31.3625933
30022,Route 23,Valencia,Thokar Niaz Baig,5,Thokar Niaz Baig,74.2382381,31.4810169
30023,Route 24,Multan Chungi,Ghazi Chowk,1,Multan Chungi,74.2640826,31.496147
30023,Route 24,Multan Chungi,Ghazi Chowk,2,College Road,74.3433725,31.5471376
30023,Route 24,Multan Chungi,Ghazi Chowk,3,Maulana Shaukat Ali Road,74.3304074,31.4587692
30023,Route 24,Multan Chungi,Ghazi Chowk,4,Wahdat Road,74.2779889,31.5004217
30023,Route 24,Multan Chungi,Ghazi Chowk,5,Ghazi Chowk,74.2909349,31.4366621
30024,Route 25,R.A Bazar,Railway Station,1,R.A Bazar,74.3833725,31.5000864
30024,Route 25,R.A Bazar,Railway Station,2,Lahore-Bedian Road,74.415692,31.4859347
30024,Route 25,R.A Bazar,Railway Station,3,Allama Iqbal Road,74.334061,31.5787109
30024,Route 25,R.A Bazar,Railway Station,4,Railway Station,74.3361528,31.5722982
30025,Route 26,R.A Bazar,Daroghawala,1,R.A Bazar,74.3833725,31.5000864
30025,Route 26,R.A Bazar,Daroghawala,2,G.T Road,74.313862,31.596772
30025,Route 26,R.A Bazar,Daroghawala,3,Shalimar Link Road,74.3811605,31.57472
30025,Route 26,R.A Bazar,Daroghawala,4,Tufail Road,74.2552971,31.4937339
30025,Route 26,R.A Bazar,Daroghawala,5,Sarfraz Rafique Road,,
30025,Route 26,R.A Bazar,Daroghawala,6,Daroghawala,74.4042545,31.5868172
30026,Route 27,BataPur,Daroghawala,1,BataPur,74.4913891,31.5964964
30026,Route 27,BataPur,Daroghawala,2,GT Road,74.3031637,31.6088041
30026,Route 27,BataPur,Daroghawala,3,Daroghawala,74.4042545,31.5868172
30027,Route 28,Quaid e Azam Interchange,Airport,1,Quaid e Azam Interchange,,
30027,Route 28,Quaid e Azam Interchange,Airport,2,Harbanspura Road,74.4599767,31.577738
30027,Route 28,Quaid e Azam Interchange,Airport,3,Zarar Shaheed Road,74.4032887,31.5487673
30027,Route 28,Quaid e Azam Interchange,Airport,4,Airport,74.4247837,31.5315331
30028,Route 29,Niazi Interchange,Salamat Pura,1,Niazi Interchange,,
30028,Route 29,Niazi Interchange,Salamat Pura,2,Lahore Ring Road,74.274155,31.5551583
30028,Route 29,Niazi Interchange,Salamat Pura,3,Band Road,74.2999796,31.6515149
30028,Route 29,Niazi Interchange,Salamat Pura,4,Sue Wala Road,74.4053055,31.583913
30028,Route 29,Niazi Interchange,Salamat Pura,5,Salamat Pura,74.3866529,31.5829651
30029,Route 30,Daroghawala,Airport,1,Daroghawala,74.4042545,31.5868172
30029,Route 30,Daroghawala,Airport,2,G.T. Road,74.313862,31.596772
30029,Route 30,Daroghawala,Airport,3,Shalimar Link Road,74.3811605,31.57472
30029,Route 30,Daroghawala,Airport,4,Airport,74.4247837,31.5315331
30030,Route 31,Daroghawala,Lari Adda,1,Daroghawala,74.4042545,31.5868172
30030,Route 31,Daroghawala,Lari Adda,2,Chamra Mandi,74.3372181,31.5809589
30030,Route 31,Daroghawala,Lari Adda,3,Cooper Store,,
30030,Route 31,Daroghawala,Lari Adda,4,UET,74.2700682,31.4067365
30030,Route 31,Daroghawala,Lari Adda,5,Shalimar Chowk,74.3332304,31.5645647
30030,Route 31,Daroghawala,Lari Adda,6,Lari Adda,74.3148795,31.5960038
30031,Route 32,Shimla Pahari,Ek Moriya,1,Shimla Pahari,74.3365138,31.5621217
